country,order_value_eur,cost,date,category,customer_name,sales_manager,sales_rep,device_type,order_id,profit,profit_margin,year,month,weekday
Sweden,17524.02,14122.61,2020-12-02,Books,Goldner-Dibbert,Maxie Marrow,Madelon Bront,Mobile,70-0511466,3401.41,19.4099869778737,2020,12,Wednesday
Finland,116563.4,92807.78,2019-09-26,Games,Hilll-Vandervort,Hube Corey,Wat Bowkley,Mobile,28-6585323,23755.6199999999,20.3799992107299,2019,9,Thursday
Portugal,296465.56,257480.34,2019-11-07,Clothing,Larkin-Collier,Celine Tumasian,Smitty Culverhouse,Pc,58-7703341,38985.22,13.1499996154696,2019,11,Thursday
Portugal,74532.02,59752.32,2020-02-04,Beauty,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,Pc,14-6700183,14779.7,19.8300005823,2020,2,Tuesday
Spain,178763.42,146621.76,2019-12-22,Games,Johns And Sons,Emalia Dinse,Bertha Walbrook,Tablet,15-8765160,32141.66,17.9799983687937,2019,12,Sunday
Spain,84900.24,73701.9,2020-07-14,Clothing,"Farrell, Swaniawski And Crist",Emalia Dinse,Perri Aldersley,Pc,60-6998932,11198.34,13.1899980494754,2020,7,Tuesday
Portugal,71620.08,62245.01,2019-05-02,Books,Schoen-Keeling,Celine Tumasian,Smitty Culverhouse,Pc,69-6259390,9375.07,13.0900021334798,2019,5,Thursday
Uk,156585.22,126599.15,2020-08-30,Accessories,"Hermiston, Simonis And Wisoky",Jessamine Apark,Winny Agnolo,Pc,64-5761908,29986.07,19.150000236293,2020,8,Sunday
Portugal,78461.13,63537.82,2020-10-05,Appliances,Hessel-Stiedemann,Celine Tumasian,Smitty Culverhouse,Mobile,91-4126746,14923.31,19.0200039178635,2020,10,Monday
France,64827.8,56043.63,2019-01-20,Appliances,Gislason-Stanton,Othello Bowes,Maighdiln Upcraft,Pc,62-3312495,8784.17,13.5500047818991,2019,1,Sunday
Sweden,142664.34,120808.16,2019-04-05,Appliances,"Swaniawski, Runolfsson And Green",Maxie Marrow,Madelon Bront,Pc,85-6625096,21856.1799999999,15.3200021813439,2019,4,Friday
Uk,66673.19,52811.83,2019-02-23,Smartphones,Gislason-Stanton,Jessamine Apark,Winny Agnolo,Pc,25-6368157,13861.36,20.7900056979424,2019,2,Saturday
Portugal,136915.61,114790.05,2020-04-01,Outdoors,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,Tablet,15-3943365,22125.5599999999,16.159998118549,2020,4,Wednesday
